None;Nom région;Chef-lieu;Latitude;Longitude;Généralistes;Généralistes;Généralistes
Année;;;;;2013;2014;2015
;;;;;;;
0;Alsace;Strasbourg;48.583333;7.75;159.7;159.6;158.7
1;Aquitaine;Bordeaux;44.833333;-0.566667;170.9;170.7;170.1
2;Auvergne;Clermont-Ferrand;45.783333;3.083333;153.0;154.3;152.9
3;Basse-Normandie;Caen;49.183333;-0.35;147.8;149.7;150.5
4;Bourgogne;Dijon;47.316667;5.016667;141.9;142.2;140.1
5;Bretagne;Rennes;48.083333;-1.683333;155.3;156.5;157.1
6;Centre;Orléans;47.916667;1.9;130.9;129.9;129.6
7;Champagne-Ardenne;Châlons-en-Champagne;48.958333;4.366667;144.8;146.0;144.3
8;Corse;Ajaccio;41.916667;8.733333;152.4;152.4;155.7
9;Franche-Comté;Besançon;47.25;6.033333;158.6;155.0;156.3
10;Haute-Normandie;Rouen;49.433333;1.083333;137.0;137.1;136.2
11;Ile-de-France;Paris;48.864049;2.331053;154.7;154.0;152.1
12;Languedoc-Roussillon;Montpellier;43.6;3.883333;174.2;174.4;172.5
13;Limousin;Limoges;45.85;1.25;175.5;175.7;177.1
14;Lorraine;Metz;49.133333;6.166667;148.7;148.2;149.6
15;Midi-Pyrénées;Toulouse;43.6;1.433333;167.7;167.7;168.5
16;Nord-Pas-de-Calais;Lille;50.633333;3.066667;155.3;156.3;158.2
17;Pays de la Loire;Nantes;47.216667;-1.55;142.4;143.2;144.1
18;Picardie;Amiens;49.9;2.3;134.4;133.2;134.1
19;Poitou-Charentes;Poitiers;46.583333;0.333333;156.5;155.3;155.9
20;Rhône-Alpes;Lyon;45.759723;4.8422;158.1;158.7;158.5
